Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,Date,,,,,Plant,1150,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8010,KTC,SG1,5,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,32 MA,8052,COSMO,SG1,5,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8051,KTC,SG1,1,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8052,KTC,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,32 MA,8010,COSMO,SG1,1,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8053,KTC,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,32 MA,8005,COSMO,SG1,2,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8303,KTC,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,32 MA,8001,COSMO,SG1,3,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8305,KTC,SG1,5,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2_1,18 FT,8107,MEGA,SG1,2,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8311,KTC,SG1,1,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8313,KTC,SG1,2,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8352,KTC,SG1,3,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8353,KTC,SG1,4,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8354,KTC,SG1,5,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,400024,KTC,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2_1,18 FT,8106,MEGA,SG1,3,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,400047,EAST INDIA,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2_1,18 FT,8105,MEGA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,400054,EAST INDIA,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2_1,18 FT,8104,MEGA,SG1,5,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,400063,EAST INDIA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,400147,EAST INDIA,SG1,5,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2_1,18 FT,8103,MEGA,SG1,1,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,400327,EAST INDIA,SG1,1,,,,,,,,,,,,,,,,
1120,1120,S4,S4,18 FT,8155,MEGA,SG1,2,,,,,,,,,,,,,,,,
1120,1120,S4,S4,18 FT,8252,MEGA,SG1,3,,,,,,,,,,,,,,,,
1120,1120,S4,S4,18 FT,8261,MEGA,SG2,7,,,,,,,,,,,,,,,,
1120,1120,S4,S4_2,18 FT,8300,VARUNA,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2_1,18 FT,8102,MEGA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,S4,S4_2,18 FT,8351,VARUNA,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2_1,18 FT,4001,MEGA,SG1,5,,,,,,,,,,,,,,,,
1120,1120,E5,E5,32 MA,4002,KAPOOR,SG1,5,,,,,,,,,,,,,,,,
1120,1120,E5,E5,32 MA,6000,DGFC,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8356,KTC,SG1,2,,,,,,,,,,,,,,,,
1120,1120,E5,E5,32 MA,6053,DGFC,SG1,2,,,,,,,,,,,,,,,,
1120,1120,E5,E5,32 MA,6200,KTC,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8355,GNANABELLA,SG1,1,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 MA,5040,DRS,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8354,GNANABELLA,SG1,2,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 MA,5050,LG BROTHERS,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8353,GNANABELLA,SG1,3,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 MA,5120,RCI,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8352,GNANABELLA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 MA,5301,VARUNA,SG1,3,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 MA,400057,VARUNA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,5050,RCI,SG1,5,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,5120,RCI,SG1,1,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,400025,LG BROTHERS,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8351,GNANABELLA,SG1,5,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,400041,EAST INDIA,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8313,GNANABELLA,SG1,1,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,400044,EAST INDIA,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8311,GNANABELLA,SG1,2,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,400045,NSTCL,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8306,GNANABELLA,SG1,3,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,400051,NSTCL,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8305,GNANABELLA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,N7,N7,32 SA,400347,NSTCL,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8304,GNANABELLA,SG1,5,,,,,,,,,,,,,,,,
1120,1120,N7,N7_1,32 SA,400151,VARUNA,SG1,5,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1,18 FT,8303,GNANABELLA,SG1,1,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 SA,7000,NSTCL,SG1,4,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 SA,7150,NSTCL,SG1,5,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 SA,7250,NSTCL,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1_1,18 FT,400334,ILAN,SG1,3,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 SA,400039,LG BROTHERS,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1_1,18 FT,8302,GNANABELLA,SG1,2,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 SA,400043,LG BROTHERS,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1_1,18 FT,8301,GNANABELLA,SG1,3,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 SA,400048,LG BROTHERS,SG1,5,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1_1,18 FT,8300,GNANABELLA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7000,MEGA,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S1,S1_1,18 FT,4000,GNANABELLA,SG1,5,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7051,MEGA,SG1,2,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7102,SWASTIK,SG1,1,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7103,EXPRESS,SG1,1,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7150,EXPRESS,SG1,2,,,,,,,,,,,,,,,,
1170,1170/1190,N2,N2,32 MA,5301,DBRC,SG1,4,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7152,EXPRESS,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,N2,N2,32 MA,5050,DBRC,SG1,5,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7154,EXPRESS,SG1,4,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7250,DGFC,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,S3,S3,32 MA,8251,COSMO,SG1,4,,,,,,,,,,,,,,,,
1120,1120,W5,W5,32 MA,7302,DGFC,SG1,4,,,,,,,,,,,,,,,,
1120,1120,S9,S9_2,32 MA,8150,DEDICATED,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,S3,S3,32 MA,8150,COSMO,SG1,5,,,,,,,,,,,,,,,,
1120,1120,S9,S9_2,32 MA,400310,DEDICATED,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,S3,S3,18 FT,8255,GNANABELLA,SG2,9,,,,,,,,,,,,,,,,
1130,1130,S9,S9_3,32 MA,4000,DEDICATED,SG1,5,,,,,,,,,,,,,,,,
1170,1170/1190,S3,S3,18 FT,8252,GNANABELLA,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S9,S9_3,32 MA,4003,DEDICATED,SG1,1,,,,,,,,,,,,,,,,
1170,1170/1190,S3,S3,18 FT,8153,GNANABELLA,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S9,S9_3,32 MA,7104,DEDICATED,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S9,S9_3,32 MA,8004,DEDICATED,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,S2,S2,32 MA,8010,COSMO,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S9,S9_3,32 MA,8054,DEDICATED,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,S2,S2,18 FT,8055,EAST INDIA,SG2,8,,,,,,,,,,,,,,,,
1130,1130,S9,S9_3,32 MA,8300,DEDICATED,SG1,5,,,,,,,,,,,,,,,,
1170,1170/1190,S2,S2,18 FT,8053,GNANABELLA,SG2,10,,,,,,,,,,,,,,,,
1130,1130,S9,S9_3,32 MA,400071,DEDICATED,SG1,1,,,,,,,,,,,,,,,,
1170,1170/1190,S2,S2,18 FT,8051,EAST INDIA,SG1,4,,,,,,,,,,,,,,,,
1130,1130,S5,S5_2,18 FT,4001,VARUNA,SG1,1,,,,,,,,,,,,,,,,
1170,1170/1190,S2,S2,18 FT,8005,GNANABELLA,SG1,3,,,,,,,,,,,,,,,,
1130,1130,S5,S5_2,18 FT,8102,VARUNA,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_2,18 FT,8103,MEGA,SG1,3,,,,,,,,,,,,,,,,
1130,1130,S5,S5_2,18 FT,8104,MEGA,SG1,4,,,,,,,,,,,,,,,,
1130,1130,S5,S5_2,18 FT,8105,MEGA,SG1,5,,,,,,,,,,,,,,,,
1170,1170/1190,S2,S2,18 FT,8003,GNANABELLA,SG1,4,,,,,,,,,,,,,,,,
1130,1130,S5,S5_2,18 FT,8106,MEGA,SG1,1,,,,,,,,,,,,,,,,
1170,1170/1190,S2,S2,18 FT,8001,GNANABELLA,SG1,5,,,,,,,,,,,,,,,,
1130,1130,S5,S5_2,18 FT,8107,KTC,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,W2,W2,32 MA,7302,HARSH,SG2,6,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8001,VARUNA,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,W2,W2,32 MA,7301,SWASTIK,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8002,VARUNA,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,W2,W2,32 MA,7253,HARSH,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8003,VARUNA,SG1,5,,,,,,,,,,,,,,,,
1170,1170/1190,W2,W2,32 MA,7252,HARSH,SG1,3,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8005,VARUNA,SG1,1,,,,,,,,,,,,,,,,
1170,1170/1190,W2,W2,32 MA,7251,DGFC,SG1,5,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8006,VARUNA,SG1,2,,,,,,,,,,,,,,,,
1170,1170/1190,W2,W2,32 MA,7250,DGFC,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8010,VARUNA,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,W1,W1,32 MA,7153,EXPRESS,SG2,6,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8051,VARUNA,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,W1,W1,32 MA,7152,MEGA,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8052,VARUNA,SG1,5,,,,,,,,,,,,,,,,
1170,1170/1190,W1,W1,32 MA,7151,EXPRESS,SG1,5,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8053,MEGA,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,W1,W1,32 MA,7150,EXPRESS,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8055,MEGA,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,W1,W1,32 MA,7103,EXPRESS,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8301,MEGA,SG1,5,,,,,,,,,,,,,,,,
1170,1170/1190,W1,W1,32 MA,7102,EAST INDIA,SG1,5,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8303,MEGA,SG1,1,,,,,,,,,,,,,,,,
1170,1170/1190,W1,W1,32 MA,7000,EAST INDIA,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8304,MEGA,SG1,2,,,,,,,,,,,,,,,,
1170,1170/1190,E1,E1,32 MA,400035,EAST INDIA,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8305,MEGA,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,E1,E1,32 MA,6206,DGFC,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8306,MEGA,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,E1,E1,32 MA,6203,DGFC,SG1,3,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8311,MEGA,SG1,5,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8312,MEGA,SG1,1,,,,,,,,,,,,,,,,
1170,1170/1190,E1,E1,32 MA,6202,DGFC,SG1,4,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8313,MEGA,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8351,MEGA,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,E1,E1,32 MA,6200,DGFC,SG1,5,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8352,MEGA,SG1,4,,,,,,,,,,,,,,,,
1170,1170/1190,E2,E2,32 MA,6053,KAPOOR,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8353,KTC,SG1,5,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8354,KTC,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,8356,KTC,SG1,2,,,,,,,,,,,,,,,,
1170,1170/1190,E2,E2,32 MA,6000,KAPOOR,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5_1,18 FT,400196,KTC,SG1,3,,,,,,,,,,,,,,,,
1170,1170/1190,N1,N1_1,32 MA,400126,RCI,SG1,2,,,,,,,,,,,,,,,,
1130,1130,S5,S5,18 FT,8153,KTC,SG1,4,,,,,,,,,,,,,,,,
1130,1130,S5,S5,18 FT,8155,KTC,SG1,5,,,,,,,,,,,,,,,,
1170,1170/1190,N1,N1_1,32 MA,5203,LG BROTHERS,SG2,6,,,,,,,,,,,,,,,,
1130,1130,S5,S5,18 FT,8156,VARUNA,SG1,1,,,,,,,,,,,,,,,,
1130,1130,S5,S5,18 FT,8255,VARUNA,SG1,2,,,,,,,,,,,,,,,,
1170,1170/1190,N1,N1_1,32 MA,5157,EAST INDIA,SG1,3,,,,,,,,,,,,,,,,
1130,1130,S5,S5,18 FT,8257,VARUNA,SG1,3,,,,,,,,,,,,,,,,
