ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1110,1110,S1,S1_2,18 FT,4000,14
1110,1110,S1,S1_2,18 FT,4003,44
1110,1110,S1,S1_1,18 FT,8300,15
1110,1110,S1,S1_1,18 FT,8301,1
1110,1110,S1,S1_1,18 FT,8312,1
1110,1110,S1,S1_1,18 FT,400063,3
1110,1110,S1,S1_1,18 FT,400147,1
1110,1110,S1,S1,18 FT,8305,1
1110,1110,S1,S1,18 FT,8311,1
1110,1110,S1,S1,18 FT,8313,1
1110,1110,S1,S1,18 FT,8351,1
1110,1110,S1,S1,18 FT,8352,3
1110,1110,S1,S1,18 FT,8353,2
1110,1110,S1,S1,18 FT,8354,1
1110,1110,S1,S1,18 FT,8355,1
1110,1110,S1,S1,32 SA,400024,4
1110,1110,S1,S1,32 SA,400054,3
1110,1110,E1,E1,32 MA,4002,5
1110,1110,E1,E1,32 MA,6200,4
1110,1110,E1,E1,32 MA,6201,1
1110,1110,E1,E1,32 MA,6202,1
1110,1110,E1,E1,32 MA,6203,1
1110,1110,E1,E1,32 MA,6204,1
1110,1110,E1,E1,32 MA,6206,1
1110,1110,N2,N2,32 MA,5050,4
1110,1110,N2,N2,32 MA,5301,1
1110,1110,N2,N2,32 MA,400044,1
1110,1110,N2,N2,32 MA,400294,1
1110,1110,N3,N3,32 MA,5040,3
1110,1110,N3,N3,32 MA,5120,5
1110,1110,N3,N3,32 MA,400041,1
1110,1110,N3,N3,32 MA,400057,2
1110,1110,N1,N1,32 MA,5151,1
1110,1110,E2,E2,32 MA,6000,4
1110,1110,E2,E2,32 MA,6003,1
1110,1110,E2,E2,32 MA,6012,2
1110,1110,E2,E2,32 MA,6053,4
1110,1110,E2,E2,32 MA,6102,3
1110,1110,S2,S2,18 FT,8010,6
1110,1110,S2,S2,18 FT,8103,1
1110,1110,S2,S2,18 FT,8110,2
1110,1110,S2,S2,32 SA,400047,5
1110,1110,S2,S2,32 SA,400327,2
1110,1110,S3,S3,18 FT,8251,2
1110,1110,S3,S3,18 FT,8252,1
1110,1110,S3,S3,18 FT,8253,2
1110,1110,S3,S3,18 FT,8258,1
1110,1110,S3,S3,18 FT,8259,2
1110,1110,W1,W1,32 MA,7000,1
